Gene_ID,adj.P.Val,P.Value,t,logFC,ORGANISM,ORF
11167,0.936143178,0.415241846,-0.858234844,-0.064159829,Homo sapiens,Mirn520f
10955,0.936143178,0.415869458,-0.857030715,-0.092560762,Homo sapiens,Mirn148a
11178,0.936143178,0.421706017,0.845893431,0.065462346,Homo sapiens,Mirn7
11269,0.936143178,0.424992152,-0.839670248,-0.052540903,Rattus norvegicus,Mirn346
11258,0.936143178,0.425497853,0.838715547,0.047751451,Rattus norvegicus,Mirn140*
11185,0.936143178,0.426362678,-0.837084694,-0.062973261,Homo sapiens,Mirn9*
10915,0.936143178,0.428825861,0.832452279,0.055206109,Homo sapiens,let-7i
11028,0.936143178,0.4291227,-0.831895274,-0.0560451,Homo sapiens,Mirn24
11154,0.936143178,0.431462638,-0.82751379,-0.044303059,Homo sapiens,Mirn517c
13180,0.936629927,0.438062755,-0.815242896,-0.051973387,Homo sapiens,Mirn483
13183,0.936629927,0.440762574,-0.810259992,-0.043470045,Homo sapiens,Mirn487
11124,0.936629927,0.441600908,-0.808716974,-0.041853314,Homo sapiens,Mirn492
13173,0.936629927,0.442152116,0.807703523,0.076384058,Homo sapiens,Mirn17
14306,0.940014406,0.447983681,-0.797033923,-0.095253298,Homo sapiens,Mirn381
11054,0.940014406,0.449001295,0.795181742,0.036314461,Homo sapiens,Mirn320
11055,0.940381729,0.456459279,0.781692995,0.037775689,Homo sapiens,Mirn323
11071,0.940381729,0.457797647,-0.779288084,-0.058115564,Homo sapiens,Mirn346
11133,0.940381729,0.459427447,-0.776365844,-0.042795527,Homo sapiens,Mirn501
11042,0.940381729,0.465126514,-0.76620138,-0.04014113,Homo sapiens,Mirn302a*
10985,0.940381729,0.466564759,0.763649311,0.064121416,Homo sapiens,Mirn191
11164,0.940381729,0.467404587,-0.762161497,-0.04350836,Homo sapiens,Mirn519e
11145,0.940381729,0.473416111,-0.751562806,-0.04935776,Homo sapiens,Mirn512
13175,0.940381729,0.480245428,0.739628807,0.064275893,Homo sapiens,Mirn27b
13179,0.940381729,0.481438922,-0.737554589,-0.037769158,Homo sapiens,Mirn455
13137,0.940381729,0.482567375,0.735596473,0.050177715,Homo sapiens,Mirn526c
10927,0.940381729,0.488307375,0.725681867,0.059655378,Homo sapiens,Mirn124a
11110,0.940381729,0.488604753,0.725170262,0.051231739,Homo sapiens,Mirn431
11020,0.940381729,0.493920376,0.716058835,0.087895318,Homo sapiens,Mirn22
3320,0.940381729,0.494170271,-0.71563204,-0.039233179,Homo sapiens,let-7a
11265,0.940381729,0.49557802,0.713230318,0.073060861,Rattus norvegicus,Mirn333
11267,0.940381729,0.499699982,-0.706222804,-0.070056861,Rattus norvegicus,Mirn343
11235,0.940381729,0.500724883,-0.704486121,-0.041408053,Mus musculus,Mirn351
10920,0.940381729,0.504196801,-0.698619618,-0.037049221,Homo sapiens,Mirn105
11037,0.940381729,0.505974813,0.695625153,0.043353894,Homo sapiens,Mirn299
11087,0.940381729,0.509425655,-0.689832139,-0.032576056,Homo sapiens,Mirn374
11252,0.940381729,0.514081997,0.682054105,0.038391245,Mus musculus,Mirn466
13178,0.940381729,0.515428715,-0.67981269,-0.053079833,Homo sapiens,Mirn18a*
10913,0.940381729,0.51561093,0.679509699,0.035806818,Homo sapiens,let-7c
11014,0.940381729,0.518903363,0.67404632,0.034991353,Homo sapiens,Mirn214
10989,0.940381729,0.520603605,0.671233346,0.068656185,Homo sapiens,Mirn195
10923,0.940381729,0.525146534,0.663744818,0.039761438,Homo sapiens,Mirn107
11213,0.940381729,0.530047651,0.655710051,0.035054447,Mus musculus,Mirn291
11052,0.940381729,0.537492307,-0.643591016,-0.049509147,Homo sapiens,Mirn31
11013,0.940381729,0.538394614,-0.642129036,-0.043684716,Homo sapiens,Mirn213
13147,0.940381729,0.540337026,0.638986771,0.045782498,Homo sapiens,Mirn96
10586,0.940381729,0.544107466,0.632906441,0.036652254,Homo sapiens,Mirn518f*
10958,0.940381729,0.546036741,-0.629804901,-0.083705777,Homo sapiens,Mirn150
10917,0.940381729,0.546352567,-0.62929779,-0.032939669,Homo sapiens,Mirn100
10947,0.940381729,0.549244224,0.624662785,0.140602221,Homo sapiens,Mirn142
10960,0.940381729,0.549384891,0.624437679,0.045977922,Homo sapiens,Mirn152
10926,0.940381729,0.556910173,-0.612443991,-0.041539677,Homo sapiens,Mirn122a
11181,0.940381729,0.557966329,-0.610768283,-0.057801691,Homo sapiens,Mirn95
11208,0.940381729,0.558356812,-0.610149205,-0.033541759,Mus musculus,Mirn207
10944,0.940381729,0.558860851,0.609350464,0.136936772,Homo sapiens,Mirn137
11162,0.940381729,0.562405229,-0.603745486,-0.033350661,Homo sapiens,Mirn519b
11034,0.940381729,0.563610732,-0.601843781,-0.039229781,Homo sapiens,Mirn28
13171,0.940381729,0.565595027,-0.5987186,-0.124795054,Homo sapiens,Mirn429
11159,0.940381729,0.567807252,-0.595241833,-0.053360995,Homo sapiens,Mirn518e
13169,0.940381729,0.569170593,-0.593103038,-0.039010331,Mus musculus,let-7d*
11026,0.940381729,0.569801148,0.592114816,0.032495783,Homo sapiens,Mirn23a
10951,0.940381729,0.57000792,-0.591790894,-0.035921024,Homo sapiens,Mirn145
11153,0.941173714,0.576608914,-0.581484764,-0.032405863,Homo sapiens,Mirn517a
11040,0.941173714,0.579466698,0.577043537,0.090346767,Homo sapiens,Mirn29b
10482,0.941173714,0.579746302,0.576609669,0.039192118,Homo sapiens,Mirn519c
14279,0.941173714,0.581003885,-0.574659697,-0.039978538,Homo sapiens,Mirn362
11166,0.947892517,0.589764616,-0.561140174,-0.032981897,Homo sapiens,Mirn520b
6500,0.947892517,0.590447015,-0.560091769,-0.033916661,Homo sapiens,let-7f
11100,0.951170942,0.596913634,0.550189502,0.050991402,Homo sapiens,Mirn409
11217,0.951170942,0.599093727,-0.546864314,-0.047172369,Mus musculus,Mirn293
11149,0.951170942,0.600459868,0.54478394,0.042848387,Homo sapiens,Mirn515
11170,0.95215316,0.60960054,0.530929322,0.026608104,Homo sapiens,Mirn520g
11222,0.95215316,0.610002445,0.5303227,0.035861554,Homo sapiens,Mirn302a
11121,0.95215316,0.610689681,-0.529285898,-0.040311312,Homo sapiens,Mirn489
10980,0.95215316,0.61279863,-0.526108071,-0.052357534,Homo sapiens,Mirn187
13184,0.95215316,0.614378156,-0.523731767,-0.048895974,Mus musculus,Mirn483
11256,0.953274702,0.617764612,-0.518647826,-0.038913349,Mus musculus,Mirn470
11200,0.970829848,0.64719327,0.475056784,0.032748848,Mus musculus,Mirn129
5930,0.970829848,0.649845527,-0.471177397,-0.029975568,Homo sapiens,Mirn302b*
10922,0.970829848,0.654224672,0.464789019,0.023559034,Homo sapiens,Mirn106b
11146,0.970829848,0.659698602,-0.456832575,-0.022423824,Homo sapiens,Mirn513
11064,0.970829848,0.6622568,0.453125051,0.021008736,Homo sapiens,Mirn331
10919,0.970829848,0.665963056,0.447765733,0.080684914,Homo sapiens,Mirn103
13132,0.970829848,0.672173014,0.438817395,0.025697585,Homo sapiens,Mirn519e*
11131,0.970829848,0.682412718,-0.42414562,-0.028354893,Homo sapiens,Mirn499
11151,0.970829848,0.684826507,-0.420701744,-0.02043214,Homo sapiens,Mirn516
11004,0.970829848,0.685436034,0.419832969,0.061689022,Homo sapiens,Mirn203
11128,0.970829848,0.685863165,-0.419224374,-0.043952248,Homo sapiens,Mirn496
11070,0.970829848,0.687253259,-0.41724489,-0.058997998,Homo sapiens,Mirn345
4700,0.970829848,0.696144011,-0.404626496,-0.023427446,Homo sapiens,Mirn140
11045,0.970829848,0.698471943,0.401334291,0.025815755,Homo sapiens,Mirn302c*
11041,0.970829848,0.69942521,0.399987547,0.048877129,Homo sapiens,Mirn29c
10938,0.970829848,0.700578547,-0.398359216,-0.029031124,Homo sapiens,Mirn133a
11001,0.970829848,0.701869724,-0.396537655,-0.02906004,Homo sapiens,Mirn200b
10998,0.970829848,0.70379768,-0.393820435,-0.034001408,Homo sapiens,Mirn19b
