Gene_ID,adj.P.Val,P.Value,t,B,logFC,ORGANISM,ORF
11168,0.778018044,0.112808224,-1.666681347,-4.609396944,-1.226171243,Homo sapiens,Mirn520d
11124,0.778018044,0.09836112,1.742750223,-4.617875821,2.574314971,Homo sapiens,Mirn492
11097,0.778018044,0.098451389,1.742245812,-4.618615131,1.344787968,Homo sapiens,Mirn382
11029,0.778018044,0.11622691,1.649911662,-4.632540155,1.279789433,Homo sapiens,Mirn25
11020,0.778018044,0.152144233,1.495082037,-4.63254644,2.644771449,Homo sapiens,Mirn22
11027,0.778018044,0.159264856,1.468084978,-4.664421493,1.634491923,Homo sapiens,Mirn23b
11056,0.778018044,0.105404006,1.704546407,-4.673447974,1.394970831,Homo sapiens,Mirn324
11245,0.778018044,0.106780822,1.697336254,-4.683839034,1.073805849,Mus musculus,Mirn433
11183,0.778018044,0.110632698,-1.677580407,-4.712150686,-1.468921149,Homo sapiens,Mirn99a
11177,0.778018044,0.111842195,1.671498616,-4.720818888,1.796697244,Homo sapiens,Mirn527
11067,0.778018044,0.17605278,1.408144081,-4.733613125,1.739940978,Homo sapiens,Mirn338
11117,0.778018044,0.114247991,1.659566711,-4.737759672,1.272246178,Homo sapiens,Mirn453
10960,0.778018044,0.13333589,1.57179131,-4.738117436,1.598443869,Homo sapiens,Mirn152
13176,0.778018044,0.179296769,-1.397101004,-4.74611849,-1.801915666,Mus musculus,Mirn201
10964,0.778018044,0.099447108,1.736708312,-4.749752986,1.736291333,Homo sapiens,Mirn155
10986,0.778018044,0.135528183,-1.562401761,-4.750554453,-2.212209253,Homo sapiens,Mirn193a
11251,0.778018044,0.120095719,1.631433409,-4.777356841,2.009791305,Mus musculus,Mirn465
13173,0.778018044,0.120117539,1.631330636,-4.777500594,2.426366778,Homo sapiens,Mirn17
13179,0.778018044,0.124926208,1.609058397,-4.808498011,1.728159115,Homo sapiens,Mirn455
10946,0.778018044,0.125689004,-1.605592296,-4.813293943,-1.678318255,Homo sapiens,Mirn141
13175,0.778018044,0.148022525,1.511188855,-4.817409176,2.282203339,Homo sapiens,Mirn27b
11170,0.778018044,0.115742217,1.652263419,-4.824824481,1.596175084,Homo sapiens,Mirn520g
11178,0.778018044,0.202896175,1.321252553,-4.829921409,2.15967244,Homo sapiens,Mirn7
13128,0.778018044,0.128515703,1.592900859,-4.830789798,1.462344805,Homo sapiens,Mirn432*
10967,0.778018044,0.153056024,1.491567717,-4.842577815,1.36903237,Homo sapiens,Mirn16
13184,0.778018044,0.20721689,1.308133881,-4.844039401,1.825670892,Mus musculus,Mirn483
11184,0.778018044,0.133928144,-1.569242009,-4.863130739,-1.989923087,Homo sapiens,Mirn99b
10965,0.778018044,0.160668611,1.462880259,-4.878923976,1.31949728,Homo sapiens,Mirn15a
11266,0.778018044,0.141337515,1.538121225,-4.90512173,1.486661883,Rattus norvegicus,Mirn336
11229,0.778018044,0.166885605,1.440267275,-4.907190705,2.052522388,Mus musculus,Mirn341
13130,0.778018044,0.236496523,1.224457205,-4.931400621,1.57862475,Homo sapiens,Mirn517*
11051,0.778018044,0.176067384,1.408094,-4.946817144,1.729021521,Homo sapiens,Mirn30d
13178,0.778018044,0.15157949,1.497267452,-4.959279752,1.281208031,Homo sapiens,Mirn18a*
11040,0.778018044,0.180151584,1.394217926,-4.963690981,2.162284922,Homo sapiens,Mirn29b
11016,0.778018044,0.152512824,-1.493659286,-4.96400954,-1.435289425,Homo sapiens,Mirn216
11214,0.778018044,0.181060546,1.39116429,-4.96738664,1.669600742,Mus musculus,Mirn291
10925,0.778018044,0.252557704,1.181902426,-4.974004972,1.953341902,Homo sapiens,Mirn10b
10947,0.778018044,0.184900615,1.37839818,-4.982767394,2.053147755,Homo sapiens,Mirn142
13147,0.778018044,0.141285843,1.53833349,-4.983452421,1.536996816,Homo sapiens,Mirn96
11273,0.778018044,0.186124977,-1.37437262,-4.987594125,-1.161266385,Homo sapiens,let-7d
11265,0.779316482,0.274531942,1.126872325,-5.027223823,1.846417368,Rattus norvegicus,Mirn333
11242,0.778018044,0.167110184,1.439463373,-5.033991761,1.672725915,Mus musculus,Mirn411
11083,0.778018044,0.172154794,1.421633282,-5.056574897,0.93177321,Homo sapiens,Mirn371
10940,0.787396615,0.288556929,1.093439499,-5.058503296,1.443860984,Homo sapiens,Mirn134
10934,0.778018044,0.206943542,1.308957408,-5.064440768,1.316121624,Homo sapiens,Mirn129
11038,0.778018044,0.175400496,1.41038439,-5.070708661,1.527860308,Homo sapiens,Mirn299
11065,0.778018044,0.176620419,1.406199949,-5.075943647,1.195793174,Homo sapiens,Mirn335
11087,0.778018044,0.210989332,1.296854787,-5.078326143,1.288983532,Homo sapiens,Mirn374
11030,0.778018044,0.211344049,1.295802394,-5.079528593,1.0056543,Homo sapiens,Mirn26a
11276,0.778018044,0.21570238,1.282983477,-5.094111316,1.38919333,Homo sapiens,Mirn7
10915,0.778018044,0.216599697,-1.28036943,-5.097070482,-0.863153195,Homo sapiens,let-7i
11140,0.787396615,0.308507923,1.047866309,-5.099834807,2.007505873,Homo sapiens,Mirn508
11180,0.778018044,0.183446727,1.383206267,-5.104490134,1.337467213,Homo sapiens,Mirn93
11162,0.778018044,0.168455061,1.434667589,-5.120296653,0.779287111,Homo sapiens,Mirn519b
10942,0.778018044,0.188798393,1.365655943,-5.126026423,1.838744347,Homo sapiens,Mirn135b
10990,0.787396615,0.32551159,1.010668061,-5.132435962,1.754607587,Homo sapiens,Mirn196a
11079,0.778018044,0.229287413,-1.244279992,-5.137416589,-1.018485959,Homo sapiens,Mirn367
11123,0.778018044,0.234074508,1.231064504,-5.151951962,1.365951745,Homo sapiens,Mirn491
11066,0.778018044,0.175793699,1.409033106,-5.152987025,1.603871255,Homo sapiens,Mirn337
11138,0.778018044,0.195755305,1.343426284,-5.152988067,1.194379901,Homo sapiens,Mirn506
11169,0.778018044,0.197669496,1.337420275,-5.160211382,1.608796697,Homo sapiens,Mirn520e
10924,0.787396615,0.341793509,0.976312873,-5.161625314,2.082432151,Homo sapiens,Mirn10a
10962,0.787396615,0.347189502,0.965179138,-5.170893358,1.956182449,Homo sapiens,Mirn154
10963,0.778018044,0.201069954,1.326863744,-5.172844058,1.06400424,Homo sapiens,Mirn154*
11211,0.778018044,0.242607537,1.20801365,-5.176995254,1.208474124,Homo sapiens,Mirn217
10991,0.787396615,0.355151248,0.948967282,-5.184219616,1.681702795,Homo sapiens,Mirn196b
11205,0.778018044,0.24762469,1.194748059,-5.191227683,1.062728215,Homo sapiens,Mirn199b
11176,0.778018044,0.215866934,-1.282503466,-5.225036005,-1.058643493,Homo sapiens,Mirn526b
11120,0.787396615,0.384532086,0.89119506,-5.230063062,1.396616342,Homo sapiens,Mirn488
3320,0.778018044,0.262728623,-1.15600353,-5.232035871,-0.82115649,Homo sapiens,let-7a
11260,0.778018044,0.21802557,-1.276232933,-5.232296162,-1.554455753,Homo sapiens,Mirn28
8538,0.778018044,0.195654688,-1.343743271,-5.234123953,-1.448605506,Homo sapiens,Mirn450
11179,0.778018044,0.21890161,1.273701964,-5.235218266,1.136402168,Homo sapiens,Mirn92
11212,0.778018044,0.196052762,-1.342489923,-5.235651232,-1.707345229,Homo sapiens,Mirn373*
11240,0.787396615,0.389083752,0.8825123,-5.236728689,1.313051845,Homo sapiens,Mirn409
10996,0.778018044,0.265184881,1.149862124,-5.238399547,1.028371178,Homo sapiens,Mirn199b
11230,0.778018044,0.269419037,-1.139374419,-5.249199981,-1.090315844,Mus musculus,Mirn344
11164,0.778018044,0.271111044,-1.135217757,-5.253457194,-1.192185224,Homo sapiens,Mirn519e
4500,0.787396615,0.285405422,-1.100846265,-5.288147787,-0.761915022,Homo sapiens,let-7g
11101,0.778018044,0.238351,1.21943315,-5.296713864,1.092847542,Homo sapiens,Mirn409
11071,0.778018044,0.240525052,1.213581278,-5.30321141,0.89630153,Homo sapiens,Mirn346
10981,0.787396615,0.292284336,1.084755169,-5.304071821,1.379668606,Homo sapiens,Mirn188
11272,0.778018044,0.2429286,1.20715852,-5.310312608,1.142798589,Rattus norvegicus,Mirn350
11069,0.823014822,0.451698359,-0.76921617,-5.318223995,-1.08164838,Homo sapiens,Mirn342
11172,0.778018044,0.205006889,1.314816715,-5.32039277,1.368286745,Homo sapiens,Mirn522
10920,0.778018044,0.248076906,1.193562451,-5.325240114,1.493934061,Homo sapiens,Mirn105
11113,0.787396615,0.30291101,1.06043061,-5.327756945,1.181384839,Homo sapiens,Mirn448
10306,0.778018044,0.252531117,1.181971149,-5.337853697,0.987727041,Homo sapiens,Mirn146b
11072,0.787396615,0.309067238,1.046619749,-5.340996034,1.276980216,Homo sapiens,Mirn34a
11201,0.778018044,0.254421048,1.177099632,-5.343123728,1.228767019,Mus musculus,Mirn140*
11216,0.778018044,0.227652361,1.248842536,-5.346458813,1.065803984,Mus musculus,Mirn292
10976,0.787396615,0.311659591,1.04086312,-5.346469452,0.875875143,Homo sapiens,Mirn182*
11037,0.778018044,0.255949841,1.17317893,-5.347351747,0.886609528,Homo sapiens,Mirn299
11075,0.778018044,0.262358477,1.156932732,-5.364743428,0.8738512,Homo sapiens,Mirn361
11182,0.787396615,0.323267219,-1.015497726,-5.3702706,-0.703630148,Homo sapiens,Mirn98
11031,0.787396615,0.324070697,1.013766008,-5.371876646,1.209637192,Homo sapiens,Mirn26b
10995,0.787396615,0.32908897,1.003018201,-5.381790267,1.608916287,Homo sapiens,Mirn199a*
10989,0.778018044,0.268925135,1.140591423,-5.382027937,1.169016931,Homo sapiens,Mirn195
13132,0.827660162,0.51376294,0.666091769,-5.383347284,0.894558003,Homo sapiens,Mirn519e*
10972,0.787396615,0.331925253,0.99699455,-5.387305471,1.563254298,Homo sapiens,Mirn181b
11107,0.778018044,0.271655194,1.133885072,-5.389060391,1.166100052,Homo sapiens,Mirn424
11139,0.778018044,0.27186426,1.133373574,-5.389595301,0.906186146,Homo sapiens,Mirn507
13141,0.787396615,0.333962967,0.992689129,-5.391229418,1.043077258,Homo sapiens,Mirn18b
10974,0.787396615,0.334971065,0.990565944,-5.39315893,1.35643708,Homo sapiens,Mirn181d
11073,0.787396615,0.336911396,0.986491885,-5.396851081,2.270110616,Homo sapiens,Mirn34b
11043,0.778018044,0.244786693,-1.202226455,-5.399132094,-0.863942048,Homo sapiens,Mirn302b
13180,0.787396615,0.339977841,0.980086584,-5.402628568,1.004479056,Homo sapiens,Mirn483
11175,0.787396615,0.340420691,0.97916487,-5.403457182,1.233872605,Homo sapiens,Mirn525
10993,0.787396615,0.341072033,0.977810729,-5.404673286,1.099176554,Homo sapiens,Mirn198
11217,0.787396615,0.280571907,1.112323605,-5.411428422,0.757606081,Mus musculus,Mirn293
11274,0.857118882,0.555179276,-0.601186965,-5.419793872,-0.784241904,Rattus norvegicus,Mirn421
11253,0.861647951,0.560560741,0.592948215,-5.424165653,1.029954629,Mus musculus,Mirn467
11062,0.778018044,0.254137918,-1.17782769,-5.426027045,-0.818552599,Homo sapiens,Mirn33
11006,0.787396615,0.354507791,0.950268178,-5.429081754,0.850278154,Homo sapiens,Mirn205
11155,0.787396615,0.357315436,-0.944603678,-5.434024223,-1.296670501,Homo sapiens,Mirn518a
6500,0.787396615,0.36206798,-0.935084132,-5.442270534,-0.655630995,Homo sapiens,let-7f
13183,0.893771053,0.589076376,0.549961576,-5.446037356,0.80297787,Homo sapiens,Mirn487
11227,0.787396615,0.295658061,1.076964164,-5.447305176,0.93519014,Homo sapiens,Mirn329
10956,0.893771989,0.599792505,0.534080275,-5.453717384,0.976933974,Homo sapiens,Mirn148b
11023,0.893771989,0.604848672,-0.526635598,-5.457242833,-0.756440828,Homo sapiens,Mirn222
11185,0.778018044,0.266339993,1.146988674,-5.459349006,0.79993618,Homo sapiens,Mirn9*
11257,0.787396615,0.301729378,-1.063104551,-5.461092104,-0.680583778,Mus musculus,Mirn471
10977,0.787396615,0.373514701,-0.912498602,-5.461533924,-0.896591932,Homo sapiens,Mirn183
10988,0.893771989,0.62184357,-0.50183011,-5.468644228,-0.849858216,Homo sapiens,Mirn194
11250,0.787396615,0.380332248,-0.899267359,-5.472621039,-0.646738868,Mus musculus,Mirn464
13181,0.787396615,0.307446659,-1.050236039,-5.473753157,-0.823971521,Homo sapiens,Mirn484
10917,0.787396615,0.383059259,0.894019204,-5.476978043,1.154527093,Homo sapiens,Mirn100
10926,0.787396615,0.385869768,0.88863627,-5.481422871,0.942000762,Homo sapiens,Mirn122a
11059,0.787396615,0.391131339,0.878628203,-5.489621864,1.014107651,Homo sapiens,Mirn326
10939,0.787396615,0.317683143,1.027617962,-5.495677976,1.12609664,Homo sapiens,Mirn133b
10923,0.906347585,0.692922292,-0.401273244,-5.509376954,-0.569386817,Homo sapiens,Mirn107
11098,0.787396615,0.404914166,0.852824137,-5.510370343,0.994367033,Homo sapiens,Mirn383
11090,0.787396615,0.329566429,1.002001636,-5.519999518,1.110018813,Homo sapiens,Mirn376b
10971,0.787396615,0.412323096,0.839188669,-5.521105499,1.032674868,Homo sapiens,Mirn181a
4610,0.787396615,0.415921242,-0.832623492,-5.526217546,-0.732222202,Homo sapiens,Mirn126
11247,0.787396615,0.333652634,0.993343631,-5.528096675,0.966126495,Mus musculus,Mirn434
10927,0.787396615,0.420191288,0.824879376,-5.532200083,0.85939118,Homo sapiens,Mirn124a
11208,0.932212483,0.760441687,0.309551281,-5.538763337,0.829191559,Mus musculus,Mirn207
11121,0.787396615,0.339813544,0.980428752,-5.540058623,0.853802753,Homo sapiens,Mirn489
10992,0.932212483,0.781360764,0.281715833,-5.546200425,0.321024588,Homo sapiens,Mirn197
13140,0.932212483,0.789202613,0.271341286,-5.548794977,0.397386964,Homo sapiens,Mirn138
11115,0.937944345,0.829991459,0.217842813,-5.560640989,0.302715116,Homo sapiens,Mirn451
10975,0.937944345,0.849417179,0.192602704,-5.565335642,0.265102683,Homo sapiens,Mirn182
10954,0.937944345,0.870676273,-0.16512718,-5.56979255,-0.231781189,Homo sapiens,Mirn147
11248,0.940044351,0.881291579,0.151458191,-5.571755698,0.215552249,Homo sapiens,Mirn451
11017,0.947308692,0.904249206,-0.121994487,-5.575412189,-0.118158436,Homo sapiens,Mirn217
10957,0.976232031,0.951271553,-0.061963826,-5.580426932,-0.107178963,Homo sapiens,Mirn149
11022,0.985137444,0.979540072,-0.026002685,-5.58186408,-0.04889813,Homo sapiens,Mirn221
11277,0.827660162,0.46051557,0.754072116,-5.584496486,0.875990289,Rattus norvegicus,Mirn7*
13174,0.787396615,0.364490516,0.930264365,-5.585189501,1.841783615,Homo sapiens,Mirn30e
11148,0.787396615,0.366307085,0.926664433,-5.588346128,0.789423046,Homo sapiens,Mirn515
11256,0.787396615,0.366708066,0.925871431,-5.589039991,0.708627315,Mus musculus,Mirn470
11092,0.787396615,0.366744587,0.925799234,-5.589103135,0.730098,Homo sapiens,Mirn378
11174,0.787396615,0.376963594,0.905785111,-5.606435767,0.96718867,Homo sapiens,Mirn525*
11050,0.827660162,0.480462857,0.720445914,-5.60779805,0.679275615,Homo sapiens,Mirn30c
11088,0.827660162,0.480589489,0.720235129,-5.607940971,0.722099009,Homo sapiens,Mirn375
11254,0.787396615,0.379899162,-0.900103142,-5.61129383,-0.84167397,Mus musculus,Mirn468
10935,0.787396615,0.381119004,0.897750679,-5.613297045,1.263790367,Homo sapiens,Mirn130a
13149,0.827660162,0.486583753,0.710294606,-5.614636374,0.818456792,Homo sapiens,Mirn372
11146,0.827660162,0.497669611,0.692097544,-5.626665778,1.574661336,Homo sapiens,Mirn513
13137,0.827660162,0.498304754,0.691062136,-5.627341392,0.878866238,Homo sapiens,Mirn526c
10952,0.827660162,0.499412022,0.689258889,-5.628515747,0.906340622,Homo sapiens,Mirn146a
11034,0.827660162,0.499677067,0.688827591,-5.628796199,0.645016199,Homo sapiens,Mirn28
11111,0.827660162,0.507088932,0.676819297,-5.636537934,0.936081003,Homo sapiens,Mirn432
11049,0.827660162,0.511224206,0.670163061,-5.640773687,0.799269808,Homo sapiens,Mirn30b
11007,0.787396615,0.399090156,-0.863656664,-5.641792419,-0.768786682,Homo sapiens,Mirn206
11252,0.827660162,0.513334547,0.666777972,-5.642912602,1.254367302,Mus musculus,Mirn466
11003,0.827660162,0.514673095,0.664634949,-5.644261392,0.725192916,Homo sapiens,Mirn202
11116,0.827660162,0.518569152,-0.658415143,-5.648152726,-0.982176404,Homo sapiens,Mirn452
10916,0.827660162,0.519690498,0.65662985,-5.649263255,0.783648508,Homo sapiens,Mirn1
11234,0.787396615,0.406236392,0.850378945,-5.65261656,0.956364182,Mus musculus,Mirn350
11167,0.837295204,0.530445541,0.639614653,-5.659703567,0.710299761,Homo sapiens,Mirn520f
11018,0.787396615,0.411243009,0.841166573,-5.660036074,0.656651606,Homo sapiens,Mirn218
11045,0.787396615,0.412289492,0.839250155,-5.661570191,0.590891876,Homo sapiens,Mirn302c*
10918,0.787396615,0.420541374,0.824246696,-5.673469193,0.739327896,Homo sapiens,Mirn101
11218,0.852080885,0.547074659,0.613675126,-5.675116905,0.744026379,Homo sapiens,Mirn520d
11058,0.789207612,0.423750678,0.818462347,-5.678003759,0.830805447,Homo sapiens,Mirn325
11200,0.787396615,0.370757943,-0.917894793,-5.682515517,-0.741734328,Mus musculus,Mirn129
11222,0.793116056,0.428102417,0.810663126,-5.684071116,0.453765258,Homo sapiens,Mirn302a
11130,0.787396615,0.380056791,-0.899798872,-5.698250743,-0.969015887,Homo sapiens,Mirn498
10983,0.811067585,0.441480311,0.786995001,-5.702153824,1.166840979,Homo sapiens,Mirn18a
11091,0.811067585,0.442400501,-0.785383562,-5.703366888,-0.812776899,Homo sapiens,Mirn377
11019,0.888626407,0.580636573,0.562571304,-5.703693771,0.444760086,Homo sapiens,Mirn219
13133,0.891043323,0.58474718,0.556418268,-5.706973461,0.773002663,Homo sapiens,Mirn520a*
10978,0.787396615,0.388322881,-0.883959045,-5.711790079,-0.708284232,Homo sapiens,Mirn184
11084,0.823014822,0.453593396,-0.765946209,-5.717816541,-1.085702509,Homo sapiens,Mirn372
10951,0.893771989,0.599952433,0.533844328,-5.718707789,0.61753593,Homo sapiens,Mirn145
11147,0.787396615,0.393401744,-0.874337062,-5.719907433,-0.880277284,Homo sapiens,Mirn514
11141,0.893771989,0.609278653,0.52013777,-5.725603528,0.527701079,Homo sapiens,Mirn509
5740,0.827660162,0.461731284,0.751997946,-5.727977292,0.527029627,Homo sapiens,Mirn21
11133,0.827660162,0.466874472,-0.743259324,-5.734254001,-0.601653221,Homo sapiens,Mirn501
5560,0.893771989,0.629745091,-0.490406642,-5.739963564,-0.61001061,Homo sapiens,Mirn185
11151,0.787396615,0.40649125,-0.849908231,-5.740150469,-0.551563385,Homo sapiens,Mirn516
11125,0.787396615,0.406515718,-0.849863048,-5.740187423,-0.46684963,Homo sapiens,Mirn493
11105,0.827660162,0.478211062,0.724199635,-5.747705254,1.030494583,Homo sapiens,Mirn422b
10618,0.893771989,0.644347042,-0.469468873,-5.749583598,-0.578424299,Homo sapiens,Mirn524*
10955,0.827660162,0.480140106,0.720983297,-5.749942786,0.778898445,Homo sapiens,Mirn148a
10933,0.893771989,0.652555117,0.457793423,-5.754770454,0.390857538,Homo sapiens,Mirn128b
10586,0.897456424,0.660190584,0.446990644,-5.759456137,0.751006929,Homo sapiens,Mirn518f*
13144,0.897456424,0.660344358,0.446773645,-5.759549141,0.576737947,Homo sapiens,Mirn340
5930,0.900521332,0.671989618,0.430403083,-5.766438172,0.4457744,Homo sapiens,Mirn302b*
11102,0.900521332,0.674235884,0.427259303,-5.767732353,0.545631134,Homo sapiens,Mirn410
11127,0.906347585,0.683489758,0.414353944,-5.772947705,0.615361775,Homo sapiens,Mirn495
10959,0.787396615,0.392807675,-0.875458295,-5.772948319,-0.612331879,Homo sapiens,Mirn151
13177,0.827660162,0.502301904,0.684563371,-5.774623733,0.884087025,Homo sapiens,Mirn143
11134,0.906347585,0.686700428,0.409893292,-5.77471392,0.39983988,Homo sapiens,Mirn502
11237,0.906347585,0.69252984,-0.401816037,-5.777864452,-0.356030562,Homo sapiens,Mirn376a
11153,0.827660162,0.505772055,0.678945454,-5.778323217,0.515696948,Homo sapiens,Mirn517a
10958,0.906347585,0.694684386,0.398837645,-5.779010654,0.359061979,Homo sapiens,Mirn150
4700,0.90797904,0.699040682,-0.392826863,-5.781298352,-0.545105455,Homo sapiens,Mirn140
11011,0.909264661,0.702613602,0.387908048,-5.783145073,0.539491689,Homo sapiens,Mirn211
11171,0.787396615,0.400336532,0.861329819,-5.784802205,0.593763174,Homo sapiens,Mirn521
